"Fecha","Horas","O3","O3_8Hrs","NO2","CO_8Hrs","SO2_24Hrs","PM_10_12Hrs","PM_2.5_12Hrs"
2020-01-12,4H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-12,5H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-12,6H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-12,7H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-12,8H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-12,9H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-12,10H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-12,11H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-12,12H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-12,13H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-12,14H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-12,15H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-12,16H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-12,17H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-12,18H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-12,19H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-12,20H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-12,21H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-12,22H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-12,23H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-13,0S,NA,NA,NA,NA,NA,NA,NA
2020-01-13,1H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-13,2H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-13,3H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-13,4H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-13,5H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-13,6H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-13,7H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-13,8H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-13,9H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-13,10H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-13,11H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-13,12H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-13,13H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-13,14H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-13,15H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-13,16H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-13,17H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-13,18H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-13,19H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-13,20H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-13,21H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-13,22H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-13,23H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-14,0S,NA,NA,NA,NA,NA,NA,NA
2020-01-14,1H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-14,2H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-14,3H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-14,4H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-14,5H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-14,6H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-14,7H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-14,8H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-14,9H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-14,10H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-14,11H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-14,12H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-14,13H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-14,14H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-14,15H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-14,16H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-14,17H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-14,18H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-14,19H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-14,20H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-14,21H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-14,22H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-14,23H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-15,0S,NA,NA,NA,NA,NA,NA,NA
2020-01-15,1H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-15,2H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-15,3H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-15,4H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-15,5H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-15,6H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-15,7H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-15,8H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-15,9H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-15,10H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-15,11H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-15,12H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-15,13H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-15,14H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-15,15H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-15,16H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-15,17H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-15,18H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-15,19H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-15,20H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-15,21H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-15,22H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-15,23H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-16,0S,NA,NA,NA,NA,NA,NA,NA
2020-01-16,1H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-16,2H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-16,3H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-16,4H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-16,5H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-16,6H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-16,7H 0M 0S,NA,NA,NA,NA,NA,NA,NA
2020-01-16,8H 0M 0S,NA,NA,NA,NA,NA,NA,NA
